accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt,decideDailyCnt
5.557315,109591.0,75792.0,,31.0,2020-03-02 10:52:38.380,22.0,4212.0,33799.0,71580.0,61,2020-03-02 00:00:00.000,00:00,2020-03-02 10:52:38.38,476.0
5.329139700000001,125851.0,90296.0,4159.0,34.0,2020-03-03 10:46:53.530,28.0,4812.0,35555.0,85484.0,62,2020-03-03 00:00:00.000,00:00,2020-03-03 10:46:53.53,600.0
4.919986,136707.0,108293.0,4750.0,41.0,2020-03-04 10:21:44.440,32.0,5328.0,28414.0,102965.0,63,2020-03-04 00:00:00.000,00:00,2020-03-04 10:21:44.44,516.0
4.622748400000001,146541.0,124731.0,5255.0,88.0,2020-03-05 10:15:12.120,35.0,5766.0,21810.0,118965.0,64,2020-03-05 00:00:00.000,00:00,2020-03-05 10:15:12.12,438.0
4.3972344,164740.0,142908.0,5643.0,108.0,2020-03-06 12:55:44.440,42.0,6284.0,21832.0,136624.0,65,2020-03-06 00:00:00.000,00:00,2020-03-06 12:55:44.44,518.0
4.267543,178189.0,158569.0,6134.0,118.0,2020-03-07 11:00:45.450,44.0,6767.0,19620.0,151802.0,66,2020-03-07 00:00:00.000,00:00,2020-03-07 11:00:45.45,483.0
4.217757700000001,188518.0,169142.0,6605.0,130.0,2020-03-08 11:16:27.270,50.0,7134.0,19376.0,162008.0,67,2020-03-08 00:00:00.000,00:00,2020-03-08 11:16:27.27,367.0
4.1203394,196618.0,179160.0,6954.0,166.0,2020-03-09 10:47:15.150,51.0,7382.0,17458.0,171778.0,68,2020-03-09 00:00:00.000,00:00,2020-03-09 10:47:15.15,248.0
3.919308,210144.0,191692.0,7165.0,247.0,2020-03-10 10:20:27.270,54.0,7513.0,18452.0,184179.0,69,2020-03-10 00:00:00.000,00:00,2020-03-10 10:20:27.27,131.0
3.8041744,222395.0,203855.0,7212.0,288.0,2020-03-11 10:17:19.190,60.0,7755.0,18540.0,196100.0,70,2020-03-11 00:00:00.000,00:00,2020-03-11 10:17:19.19,242.0
3.6217442,234998.0,217271.0,7407.0,333.0,2020-03-12 10:37:03.030,66.0,7869.0,17727.0,209402.0,71,2020-03-12 00:00:00.000,00:00,2020-03-12 10:37:03.03,114.0
3.4584992,248647.0,230707.0,7470.0,510.0,2020-03-13 10:07:22.220,67.0,7979.0,17940.0,222728.0,72,2020-03-13 00:00:00.000,00:00,2020-03-13 10:07:22.22,110.0
3.3180002999999996,261335.0,243701.0,7402.0,714.0,2020-03-14 10:29:11.110,72.0,8086.0,17634.0,235615.0,73,2020-03-14 00:00:00.000,00:00,2020-03-14 10:29:11.11,107.0
3.2396602999999997,268212.0,251940.0,7300.0,834.0,2020-03-15 10:01:22.220,75.0,8162.0,16272.0,243778.0,74,2020-03-15 00:00:00.000,00:00,2020-03-15 10:01:22.22,76.0
3.1733922999999997,274504.0,259533.0,7253.0,1137.0,2020-03-16 10:12:33.330,75.0,8236.0,14971.0,251297.0,75,2020-03-16 00:00:00.000,00:00,2020-03-16 10:12:33.33,74.0
3.088058,286716.0,269425.0,7024.0,1401.0,2020-03-17 10:29:38.380,81.0,8320.0,17291.0,261105.0,76,2020-03-17 00:00:00.000,00:00,2020-03-17 10:29:38.38,84.0
3.0121624,295647.0,279301.0,6838.0,1540.0,2020-03-18 10:26:15.150,84.0,8413.0,16346.0,270888.0,77,2020-03-18 00:00:00.000,00:00,2020-03-18 10:26:15.15,93.0
2.9420857000000002,307024.0,291120.0,6789.0,1947.0,2020-03-19 10:07:57.570,91.0,8565.0,15904.0,282555.0,78,2020-03-19 00:00:00.000,00:00,2020-03-19 10:07:57.57,152.0
2.8730919999999998,316664.0,301139.0,6527.0,2233.0,2020-03-20 10:15:59.590,94.0,8652.0,15525.0,292487.0,79,2020-03-20 00:00:00.000,00:00,2020-03-20 10:15:59.59,87.0
2.821956,327509.0,311805.0,6325.0,2612.0,2020-03-21 10:02:58.580,102.0,8799.0,15704.0,303006.0,80,2020-03-21 00:00:00.000,00:00,2020-03-21 10:02:58.58,147.0
2.8045013,331780.0,317240.0,6085.0,2909.0,2020-03-22 10:07:28.280,104.0,8897.0,14540.0,308343.0,81,2020-03-22 00:00:00.000,00:00,2020-03-22 10:07:28.28,98.0
2.7622623,338036.0,324408.0,5884.0,3166.0,2020-03-23 10:27:32.320,111.0,8961.0,13628.0,315447.0,82,2020-03-23 00:00:00.000,00:00,2020-03-23 10:27:32.32,64.0
2.712657,348582.0,333142.0,5684.0,3507.0,2020-03-24 10:20:57.570,120.0,9037.0,15440.0,324105.0,84,2020-03-24 00:00:00.000,00:00,2020-03-24 10:20:57.57,76.0
2.6590574,357896.0,343618.0,5410.0,3730.0,2020-03-25 10:12:04.040,126.0,9137.0,14278.0,334481.0,85,2020-03-25 00:00:00.000,00:00,2020-03-25 10:12:04.04,100.0
2.6359703999999997,364942.0,350573.0,5281.0,4144.0,2020-03-26 10:40:50.500,131.0,9241.0,14369.0,341332.0,86,2020-03-26 00:00:00.000,00:00,2020-03-26 10:40:50.50,104.0
2.579739,376961.0,361742.0,4966.0,4528.0,2020-03-27 10:17:01.010,139.0,9332.0,15219.0,352410.0,87,2020-03-27 00:00:00.000,00:00,2020-03-27 10:17:01.01,91.0
2.5522335,387925.0,371361.0,4665.0,4811.0,2020-03-28 10:30:06.060,144.0,9478.0,16564.0,361883.0,88,2020-03-28 00:00:00.000,00:00,2020-03-28 10:30:06.06,146.0
2.5277423999999997,394141.0,379113.0,4523.0,5033.0,2020-03-29 10:10:20.200,152.0,9583.0,15028.0,369530.0,89,2020-03-29 00:00:00.000,00:00,2020-03-29 10:10:20.20,105.0
2.5312908,395194.0,381663.0,4398.0,5228.0,2020-03-30 10:32:34.340,158.0,9661.0,13531.0,372002.0,90,2020-03-30 00:00:00.000,00:00,2020-03-30 10:32:34.34,78.0
2.4858257999999998,410564.0,393672.0,4275.0,5408.0,2020-03-31 11:00:44.440,162.0,9786.0,16892.0,383886.0,91,2020-03-31 00:00:00.000,00:00,2020-03-31 11:00:44.44,125.0
2.4414637000000003,421547.0,404962.0,4216.0,5567.0,2020-04-01 10:13:22.220,165.0,9887.0,16585.0,395075.0,92,2020-04-01 00:00:00.000,00:00,2020-04-01 10:13:22.22,101.0
2.4104886000000003,431743.0,413858.0,4155.0,5828.0,2020-04-02 10:13:00.000,169.0,9976.0,17885.0,403882.0,94,2020-04-02 00:00:00.000,00:00,2020-04-02 10:13:00.00,89.0
2.3710720000000003,443273.0,424365.0,3979.0,6021.0,2020-04-03 10:19:21.210,174.0,10062.0,18908.0,414303.0,95,2020-04-03 00:00:00.000,00:00,2020-04-03 10:19:21.21,86.0
2.335314,455032.0,434888.0,3867.0,6325.0,2020-04-04 10:32:51.510,177.0,10156.0,20144.0,424732.0,96,2020-04-04 00:00:00.000,00:00,2020-04-04 10:32:51.51,94.0
2.3178357999999997,461233.0,441662.0,3654.0,6463.0,2020-04-05 10:11:59.590,183.0,10237.0,19571.0,431425.0,97,2020-04-05 00:00:00.000,00:00,2020-04-05 10:11:59.59,81.0
